year,closed_date,city,state,zip_code,subdivision,property_type,year_built,bedrooms,baths_total,acres,sale_price,original_list_price,sale_to_list_pct,total_square_feet,price_per_sqft,days_on_market,tax_amount_annual,assessment_pending,specials_debt_balance,yearly_specials_installment,requires_shoreline_audit,seller_contribution,state_tax_strategy,grant_stack_eligible,equity_protection_score
2026,2026-02-20,Fargo,ND,58102,Chandlers Broadway,Residential,1946,3,1.00,,195000,229000,85.2,1990,97.99,246,2584.33,No,2777.0,298.97,FALSE,0,Low Income Tax / Higher Specials Risk,High Potential,8.6
2026,2026-01-05,Fargo,ND,58104,Meadow View Add,Residential,2024,4,2.00,,335290,347519,96.5,2183,153.59,125,389.13,No,30819.779,1928.4,FALSE,8500,Low Income Tax / Higher Specials Risk,High Potential,1
2026,2026-03-02,West Fargo,ND,58078,Shadow Creek 3rd Add,Residential,2014,5,3.00,,699900,749900,93.3,3688,189.78,270,7256.83,No,31983.0,3749.0,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,5.4
2026,2026-03-04,Fargo,ND,58102,Kirkhams 2nd,Residential,1918,4,2.00,0.10,186000,230000,80.9,1536,121.09,238,2134.97,No,420.74,154.17,FALSE,6000,Low Income Tax / Higher Specials Risk,High Potential,9.8
2026,2026-03-02,Hawley,MN,56549,,Residential,1900,5,3.00,7.40,480000,499000,96.2,3050,157.38,270,4580.00,No,0.0,0.0,FALSE,0,Homestead Tax Shield Eligible / Lower Specials,Above Threshold,10.0
2026,2026-02-06,Fargo,ND,58102,Riverwood 4th,Residential,2000,6,4.00,0.29,560000,695000,80.6,4761,117.62,215,8274.08,No,0.0,233.97,FALSE,8000,Low Income Tax / Higher Specials Risk,Above Threshold,10.0
2026,2026-01-12,Fargo,ND,58102,Roberts 2nd,Residential,1978,2,2.00,1.15,126000,164900,76.4,1000,126.0,187,0.00,No,1194.25,74.52,FALSE,6000,Low Income Tax / Higher Specials Risk,High Potential,9.1
2026,2026-02-13,Horace,ND,58047,Cub Creek 2nd Addition,Residential,2024,3,3.00,,554465,529900,104.6,2321,238.89,252,568.16,Yes,4877.61,443.51,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,9.1
2026,2026-03-23,Fargo,ND,58104,Osgood First Additon,Residential,2009,5,4.00,0.84,736000,829900,88.7,2529,291.02,271,7170.00,No,15893.99,2655.31,TRUE,0,Low Income Tax / Higher Specials Risk,Above Threshold,7.8
2026,2026-02-25,Fargo,ND,58104,Meadow View Add,Residential,2024,4,3.00,,423160,445115,95.1,2367,178.77,45,3042.55,Yes,31564.33,2279.59,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,2.5
2026,2026-02-27,Moorhead,MN,56560,Riverview Estates 1st Add,Residential,1977,5,3.00,0.29,405000,449000,90.2,3292,123.03,231,2296.00,No,0.0,0.0,FALSE,0,Homestead Tax Shield Eligible / Lower Specials,Above Threshold,10.0
2026,2026-03-27,Barnesville,MN,56514,Solem Beach,Residential,1996,5,3.00,5.00,605500,739900,81.8,4200,144.17,243,5056.00,No,0.0,450.0,TRUE,0,Homestead Tax Shield Eligible / Lower Specials,Above Threshold,10.0
2026,2026-02-09,Fargo,ND,58104,Prairie Farms Add,Residential,2025,5,3.00,0.30,824900,889900,92.7,3660,225.38,195,1804.00,No,50238.0,4475.0,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,3.9
2026,2026-01-09,Arthur,ND,58006,Arthur,Residential,2007,5,3.00,0.32,450000,480000,93.8,4420,101.81,202,4046.57,No,0.0,0.0,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,10.0
2026,2026-01-05,Moorhead,MN,56560,Holes 2nd Add,Residential,1960,3,2.00,,202000,220000,91.8,1728,116.9,155,1945.00,No,0.0,103.0,FALSE,10000,Homestead Tax Shield Eligible / Lower Specials,High Potential,10.0
2026,2026-02-10,Fargo,ND,58104,,Residential,2025,4,3.00,,405002,381110,106.3,2234,181.29,155,0.00,Yes,3612.3,219.87,FALSE,0,Low Income Tax / Higher Specials Risk,Above Threshold,9.1
